Full name of License	License Identifier	Source/url
Open Software License 1.1	OSL-1.1	https://fedoraproject.org/wiki/Licensing/OSL1.1
Open Software License 2.0	OSL-2.0	http://web.archive.org/web/20041020171434/http://www.rosenlaw.com/osl2.0.html
Open Software License 2.1	OSL-2.1	"http://opensource.org/licenses/OSL-2.1
http://web.archive.org/web/20050212003940/http://www.rosenlaw.com/osl21.htm"
Open Software License 3.0	OSL-3.0	"http://www.rosenlaw.com/OSL3.0.htm
http://www.opensource.org/licenses/OSL-3.0"
OpenSSL License	OpenSSL	http://www.openssl.org/source/license.html
OSET Public License version 2.1	OSET-PL-2.1	"http://opensource.org/licenses/OPL-2.1
http://www.osetfoundation.org/public-license/#"
PHP License v3.0	PHP-3.0	"http://www.opensource.org/licenses/PHP-3.0
http://www.php.net/license/3_0.txt"
PHP License v3.01	PHP-3.01	http://www.php.net/license/3_01.txt
Plexus Classworlds License	Plexus	https://fedoraproject.org/wiki/Licensing/Plexus_Classworlds_License
PostgreSQL License	PostgreSQL	"http://www.postgresql.org/about/licence
http://www.opensource.org/licenses/PostgreSQL"
psfrag License	psfrag	https://fedoraproject.org/wiki/Licensing/psfrag
psutils License	psutils	https://fedoraproject.org/wiki/Licensing/psutils
Python License 2.0	Python-2.0	http://www.opensource.org/licenses/Python-2.0
Q Public License 1.0	QPL-1.0	"http://doc.qt.nokia.com/3.3/license.html
http://www.opensource.org/licenses/QPL-1.0"
Qhull License	Qhull	https://fedoraproject.org/wiki/Licensing/Qhull
Rdisc License	Rdisc	https://fedoraproject.org/wiki/Licensing/Rdisc_License
RealNetworks Public Source License v1.0	RPSL-1.0	"https://helixcommunity.org/content/rpsl
http://www.opensource.org/licenses/RPSL-1.0"
Reciprocal Public License 1.1	RPL-1.1	http://opensource.org/licenses/RPL-1.1
Reciprocal Public License 1.5	RPL-1.5	http://www.opensource.org/licenses/RPL-1.5
Red Hat eCos Public License v1.1	RHeCos-1.1	http://ecos.sourceware.org/old-license.html
Ricoh Source Code Public License	RSCPL	http://www.opensource.org/licenses/RSCPL
RSA Message-Digest License 	RSA-MD	http://www.faqs.org/rfcs/rfc1321.html
Ruby License	Ruby	http://www.ruby-lang.org/en/LICENSE.txt
Sax Public Domain Notice	SAX-PD	http://www.saxproject.org/copying.html
Saxpath License	Saxpath	https://fedoraproject.org/wiki/Licensing/Saxpath_License
SCEA Shared Source License	SCEA	http://research.scea.com/scea_shared_source_license.html
Scheme Widget Library (SWL) Software License Agreement	SWL	https://fedoraproject.org/wiki/Licensing/SWL
Secure Messaging Protocol Public License	SMPPL	https://github.com/dcblake/SMP/blob/master/Documentation/License.txt
Sendmail License	Sendmail	http://www.sendmail.com/pdfs/open_source/sendmail_license.pdf
SGI Free Software License B v1.0	SGI-B-1.0	http://oss.sgi.com/projects/FreeB/SGIFreeSWLicB.1.0.html
SGI Free Software License B v1.1	SGI-B-1.1	http://oss.sgi.com/projects/FreeB/
SGI Free Software License B v2.0	SGI-B-2.0	http://oss.sgi.com/projects/FreeB/SGIFreeSWLicB.2.0.pdf
SIL Open Font License 1.0	OFL-1.0	http://scripts.sil.org/cms/scripts/page.php?item_id=OFL10_web
SIL Open Font License 1.1	OFL-1.1	"http://scripts.sil.org/cms/scripts/page.php?item_id=OFL_web
http://www.opensource.org/licenses/OFL-1.1"
Simple Public License 2.0	SimPL-2.0	http://www.opensource.org/licenses/SimPL-2.0
Sleepycat License	Sleepycat	http://www.opensource.org/licenses/Sleepycat
SNIA Public License 1.1	SNIA	https://fedoraproject.org/wiki/Licensing/SNIA_Public_License
Spencer License 86	Spencer-86	https://fedoraproject.org/wiki/Licensing/Henry_Spencer_Reg-Ex_Library_License
Spencer License 94	Spencer-94	https://fedoraproject.org/wiki/Licensing/Henry_Spencer_Reg-Ex_Library_License
Spencer License 99	Spencer-99	http://www.opensource.apple.com/source/tcl/tcl-5/tcl/generic/regfronts.c
Standard ML of New Jersey License	SMLNJ	http://www.smlnj.org//license.html
SugarCRM Public License v1.1.3	SugarCRM-1.1.3	http://www.sugarcrm.com/crm/SPL
Sun Industry Standards Source License v1.1	SISSL	"http://www.openoffice.org/licenses/sissl_license.html
http://opensource.org/licenses/SISSL"
Sun Industry Standards Source License v1.2	SISSL-1.2	http://gridscheduler.sourceforge.net/Gridengine_SISSL_license.html
Sun Public License v1.0	SPL-1.0	http://www.opensource.org/licenses/SPL-1.0
Sybase Open Watcom Public License 1.0	Watcom-1.0	http://www.opensource.org/licenses/Watcom-1.0
TCL/TK License	TCL	"http://www.tcl.tk/software/tcltk/license.html
https://fedoraproject.org/wiki/Licensing/TCL"
TCP Wrappers License	TCP-wrappers	http://rc.quest.com/topics/openssh/license.php#tcpwrappers
The Unlicense	Unlicense	http://unlicense.org/
TMate Open Source License	TMate	http://svnkit.com/license.html
TORQUE v2.5+ Software License v1.1	TORQUE-1.1	https://fedoraproject.org/wiki/Licensing/TORQUEv1.1
Trusster Open Source License	TOSL	https://fedoraproject.org/wiki/Licensing/TOSL
Unicode License Agreement - Data Files and Software (2015)	Unicode-DFS-2015	https://web.archive.org/web/20151224134844/http://unicode.org/copyright.html
Unicode License Agreement - Data Files and Software (2016)	Unicode-DFS-2016	http://www.unicode.org/copyright.html
Unicode Terms of Use	Unicode-TOU	http://www.unicode.org/copyright.html
Universal Permissive License v1.0	UPL-1.0	http://opensource.org/licenses/UPL
University of Illinois/NCSA Open Source License	NCSA	"http://otm.illinois.edu/uiuc_openSource
http://www.opensource.org/licenses/NCSA"
Vim License	Vim	http://vimdoc.sourceforge.net/htmldoc/uganda.html
VOSTROM Public License for Open Source	VOSTROM	https://fedoraproject.org/wiki/Licensing/VOSTROM
Vovida Software License v1.0	VSL-1.0	http://www.opensource.org/licenses/VSL-1.0
W3C Software Notice and Document License (2015-05-13)	W3C-20150513	https://www.w3.org/Consortium/Legal/2015/copyright-software-and-document
W3C Software Notice and License (1998-07-20)	W3C-19980720	http://www.w3.org/Consortium/Legal/copyright-software-19980720.html
W3C Software Notice and License (2002-12-31)	W3C	"http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231.html
http://www.opensource.org/licenses/W3C"
Wsuipa License	Wsuipa	https://fedoraproject.org/wiki/Licensing/Wsuipa
X.Net License	Xnet	http://opensource.org/licenses/Xnet
X11 License	X11	http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3
Xerox License	Xerox	https://fedoraproject.org/wiki/Licensing/Xerox
XFree86 License 1.1	XFree86-1.1	http://www.xfree86.org/current/LICENSE4.html
xinetd License	xinetd	https://fedoraproject.org/wiki/Licensing/Xinetd_License
XPP License	xpp	https://fedoraproject.org/wiki/Licensing/xpp
XSkat License	XSkat	https://fedoraproject.org/wiki/Licensing/XSkat_License
Yahoo! Public License v1.0	YPL-1.0	http://www.zimbra.com/license/yahoo_public_license_1.0.html
Yahoo! Public License v1.1	YPL-1.1	http://www.zimbra.com/license/yahoo_public_license_1.1.html
Zed License	Zed	https://fedoraproject.org/wiki/Licensing/Zed
Zend License v2.0	Zend-2.0	https://web.archive.org/web/20130517195954/http://www.zend.com/license/2_00.txt
Zimbra Public License v1.3	Zimbra-1.3	
Zimbra Public License v1.4	Zimbra-1.4	http://www.zimbra.com/legal/zimbra-public-license-1-4
zlib License	Zlib	"http://www.zlib.net/zlib_license.html
http://www.opensource.org/licenses/Zlib"
zlib/libpng License with Acknowledgement	zlib-acknowledgement	https://fedoraproject.org/wiki/Licensing/ZlibWithAcknowledgement
Zope Public License 1.1	ZPL-1.1	http://old.zope.org/Resources/License/ZPL-1.1
Zope Public License 2.0	ZPL-2.0	"http://old.zope.org/Resources/License/ZPL-2.0
http://opensource.org/licenses/ZPL-2.0"
Zope Public License 2.1	ZPL-2.1	http://old.zope.org/Resources/ZPL/
